
lexemeCurrentNode     lineno   token   valueIfNumber   parentNodeSymbol   isLeafNode(yes/no)    NodeSymbol
-----, 29, termPrime, -----, term, no, termPrime
-----, 29, highPrecedenceOperators, -----, termPrime, no, highPrecedenceOperators
/, 29, TK_DIV, -----, highPrecedenceOperators, yes, -----
-----, 29, factor, -----, termPrime, no, factor
-----, 29, allVar, -----, factor, no, allVar
-----, 29, singleOrRecId, -----, allVar, no, singleOrRecId
c4, 29, TK_ID, -----, singleOrRecId, yes, -----
-----, 29, new_24, -----, singleOrRecId, no, new_24
-----, 29, termPrime, -----, termPrime, no, termPrime
-----, 29, expPrime, -----, arithmeticExpression, no, expPrime
c6, 28, TK_SEM, -----, assignmentStmt, yes, -----
-----, 20, otherStmts, -----, conditionalStmt, no, otherStmts
-----, 20, elsePart, -----, conditionalStmt, no, elsePart
else, 30, TK_ELSE, -----, elsePart, yes, -----
-----, 30, stmt, -----, elsePart, no, stmt
-----, 32, ioStmt, -----, stmt, no, ioStmt
write, 32, TK_WRITE, -----, ioStmt, yes, -----
write, 32, TK_OP, -----, ioStmt, yes, -----
-----, 32, allVar, -----, ioStmt, no, allVar
-----, 32, singleOrRecId, -----, allVar, no, singleOrRecId
c4, 32, TK_ID, -----, singleOrRecId, yes, -----
-----, 32, new_24, -----, singleOrRecId, no, new_24
write, 32, TK_CL, -----, ioStmt, yes, -----
write, 32, TK_SEM, -----, ioStmt, yes, -----
-----, 30, otherStmts, -----, elsePart, no, otherStmts
else, 30, TK_ENDIF, -----, elsePart, yes, -----
-----, 20, otherStmts, -----, otherStmts, no, otherStmts
-----, 7, returnStmt, -----, stmts, no, returnStmt
return, 34, TK_RETURN, -----, returnStmt, yes, -----
-----, 34, optionalReturn, -----, returnStmt, no, optionalReturn
[, 34, TK_SQL, -----, optionalReturn, yes, -----
-----, 34, idList, -----, optionalReturn, no, idList
c6, 34, TK_ID, -----, idList, yes, -----
-----, 34, more_ids, -----, idList, no, more_ids
[, 34, TK_SQR, -----, optionalReturn, yes, -----
return, 34, TK_SEM, -----, returnStmt, yes, -----
computeFunctionValue, 4, TK_END, -----, function, yes, -----
-----, 4, otherFunctions, -----, otherFunctions, no, otherFunctions
-----, 4, mainFunction, -----, program, no, mainFunction
_main, 35, TK_MAIN, -----, mainFunction, yes, -----
-----, 35, stmts, -----, mainFunction, no, stmts
-----, 37, typeDefinitions, -----, stmts, no, typeDefinitions
-----, 37, declarations, -----, stmts, no, declarations
-----, 37, declaration, -----, declarations, no, declaration
type, 37, TK_TYPE, -----, declaration, yes, -----
-----, 37, dataType, -----, declaration, no, dataType
-----, 37, primitiveDatatype, -----, dataType, no, primitiveDatatype
int, 37, TK_INT, -----, primitiveDatatype, yes, -----
type, 37, TK_COLON, -----, declaration, yes, -----
type, 37, TK_ID, -----, declaration, yes, -----
-----, 37, global_or_not, -----, declaration, no, global_or_not
type, 37, TK_SEM, -----, declaration, yes, -----
-----, 37, declarations, -----, declarations, no, declarations
-----, 39, declaration, -----, declarations, no, declaration
type, 39, TK_TYPE, -----, declaration, yes, -----
-----, 39, dataType, -----, declaration, no, dataType
-----, 39, primitiveDatatype, -----, dataType, no, primitiveDatatype
int, 39, TK_INT, -----, primitiveDatatype, yes, -----
type, 39, TK_COLON, -----, declaration, yes, -----
type, 39, TK_ID, -----, declaration, yes, -----
-----, 39, global_or_not, -----, declaration, no, global_or_not
type, 39, TK_SEM, -----, declaration, yes, -----
-----, 39, declarations, -----, declarations, no, declarations
-----, 41, declaration, -----, declarations, no, declaration
type, 41, TK_TYPE, -----, declaration, yes, -----
-----, 41, dataType, -----, declaration, no, dataType
-----, 41, primitiveDatatype, -----, dataType, no, primitiveDatatype
int, 41, TK_INT, -----, primitiveDatatype, yes, -----
type, 41, TK_COLON, -----, declaration, yes, -----
type, 41, TK_ID, -----, declaration, yes, -----
-----, 41, global_or_not, -----, declaration, no, global_or_not
:, 43, TK_COLON, -----, global_or_not, yes, -----
:, 43, TK_GLOBAL, -----, global_or_not, yes, -----
type, 41, TK_SEM, -----, declaration, yes, -----
-----, 41, declarations, -----, declarations, no, declarations
-----, 45, declaration, -----, declarations, no, declaration
type, 45, TK_TYPE, -----, declaration, yes, -----
-----, 45, dataType, -----, declaration, no, dataType
-----, 45, primitiveDatatype, -----, dataType, no, primitiveDatatype
real, 45, TK_REAL, -----, primitiveDatatype, yes, -----
type, 45, TK_COLON, -----, declaration, yes, -----
type, 45, TK_ID, -----, declaration, yes, -----
-----, 45, global_or_not, -----, declaration, no, global_or_not
type, 45, TK_SEM, -----, declaration, yes, -----
-----, 45, declarations, -----, declarations, no, declarations
-----, 37, otherStmts, -----, stmts, no, otherStmts
-----, 47, stmt, -----, otherStmts, no, stmt
-----, 47, assignmentStmt, -----, stmt, no, assignmentStmt
-----, 47, singleOrRecId, -----, assignmentStmt, no, singleOrRecId
b5, 47, TK_ID, -----, singleOrRecId, yes, -----
-----, 47, new_24, -----, singleOrRecId, no, new_24
b5, 47, TK_ASSIGNOP, -----, assignmentStmt, yes, -----
-----, 47, arithmeticExpression, -----, assignmentStmt, no, arithmeticExpression
-----, 48, term, -----, arithmeticExpression, no, term
-----, 48, factor, -----, term, no, factor
-----, 48, allVar, -----, factor, no, allVar
1, 48, TK_NUM, -----, allVar, yes, -----
-----, 48, termPrime, -----, term, no, termPrime
-----, 48, expPrime, -----, arithmeticExpression, no, expPrime
b5, 47, TK_SEM, -----, assignmentStmt, yes, -----
-----, 47, otherStmts, -----, otherStmts, no, otherStmts
-----, 49, stmt, -----, otherStmts, no, stmt
-----, 49, ioStmt, -----, stmt, no, ioStmt
read, 49, TK_READ, -----, ioStmt, yes, -----
read, 49, TK_OP, -----, ioStmt, yes, -----
-----, 49, singleOrRecId, -----, ioStmt, no, singleOrRecId
d5, 49, TK_ID, -----, singleOrRecId, yes, -----
-----, 49, new_24, -----, singleOrRecId, no, new_24
read, 49, TK_CL, -----, ioStmt, yes, -----
read, 49, TK_SEM, -----, ioStmt, yes, -----
-----, 49, otherStmts, -----, otherStmts, no, otherStmts
-----, 50, stmt, -----, otherStmts, no, stmt
-----, 50, ioStmt, -----, stmt, no, ioStmt
read, 50, TK_READ, -----, ioStmt, yes, -----
read, 50, TK_OP, -----, ioStmt, yes, -----
-----, 50, singleOrRecId, -----, ioStmt, no, singleOrRecId
b3, 50, TK_ID, -----, singleOrRecId, yes, -----
-----, 50, new_24, -----, singleOrRecId, no, new_24
read, 50, TK_CL, -----, ioStmt, yes, -----
read, 50, TK_SEM, -----, ioStmt, yes, -----
-----, 50, otherStmts, -----, otherStmts, no, otherStmts
-----, 51, stmt, -----, otherStmts, no, stmt
-----, 51, funCallStmt, -----, stmt, no, funCallStmt
-----, 51, outputParameters, -----, funCallStmt, no, outputParameters
[, 51, TK_SQL, -----, outputParameters, yes, -----
-----, 51, idList, -----, outputParameters, no, idList
c3, 51, TK_ID, -----, idList, yes, -----
-----, 51, more_ids, -----, idList, no, more_ids
[, 51, TK_SQR, -----, outputParameters, yes, -----
[, 51, TK_ASSIGNOP, -----, outputParameters, yes, -----
[, 51, TK_CALL, -----, funCallStmt, yes, -----
[, 51, TK_FUNID, -----, funCallStmt, yes, -----
[, 51, TK_WITH, -----, funCallStmt, yes, -----
[, 51, TK_PARAMETERS, -----, funCallStmt, yes, -----
-----, 51, inputParameters, -----, funCallStmt, no, inputParameters
[, 53, TK_SQL, -----, inputParameters, yes, -----
-----, 53, idList, -----, inputParameters, no, idList
b5, 53, TK_ID, -----, idList, yes, -----
-----, 53, more_ids, -----, idList, no, more_ids
,, 53, TK_COMMA, -----, more_ids, yes, -----
-----, 53, idList, -----, more_ids, no, idList
d5, 54, TK_ID, -----, idList, yes, -----
-----, 54, more_ids, -----, idList, no, more_ids
,, 54, TK_COMMA, -----, more_ids, yes, -----
-----, 54, idList, -----, more_ids, no, idList
b3, 55, TK_ID, -----, idList, yes, -----
-----, 55, more_ids, -----, idList, no, more_ids
[, 53, TK_SQR, -----, inputParameters, yes, -----
[, 51, TK_SEM, -----, funCallStmt, yes, -----
-----, 51, otherStmts, -----, otherStmts, no, otherStmts
-----, 56, stmt, -----, otherStmts, no, stmt
-----, 56, ioStmt, -----, stmt, no, ioStmt
write, 56, TK_WRITE, -----, ioStmt, yes, -----
write, 56, TK_OP, -----, ioStmt, yes, -----
-----, 56, allVar, -----, ioStmt, no, allVar
-----, 56, singleOrRecId, -----, allVar, no, singleOrRecId
c3, 56, TK_ID, -----, singleOrRecId, yes, -----
-----, 56, new_24, -----, singleOrRecId, no, new_24
write, 56, TK_CL, -----, ioStmt, yes, -----
write, 56, TK_SEM, -----, ioStmt, yes, -----
-----, 56, otherStmts, -----, otherStmts, no, otherStmts
-----, 37, returnStmt, -----, stmts, no, returnStmt
return, 57, TK_RETURN, -----, returnStmt, yes, -----
-----, 57, optionalReturn, -----, returnStmt, no, optionalReturn
return, 57, TK_SEM, -----, returnStmt, yes, -----
_main, 35, TK_END, -----, mainFunction, yes, -----
